TIME_PERIOD,value
2012-10-15,1.9066766724795012
2012-10-16,1.9774057366370847
2012-10-17,2.038483056259511
2012-10-18,2.034867649046152
2012-10-19,2.0139654235304096
2012-10-22,2.013750822278157
2012-10-23,1.9971612670013796
2012-10-24,2.000837089703264
2012-10-25,2.027863062972308
2012-10-26,1.9760154955937432
2012-10-29,1.9492536216657024
2012-10-30,1.9435547330416965
2012-10-31,1.9495004378536132
2012-11-01,1.94677042831493
2012-11-02,1.9267809038196504
2012-11-05,1.9118116198469544
2012-11-06,1.908256661146308
2012-11-07,1.8614410616983044
2012-11-08,1.857334056738205
2012-11-09,1.82396344001714
2012-11-12,1.8228446905703304
2012-11-13,1.7982249997905546
2012-11-14,1.8221110244660883
2012-11-15,1.8178719228603375
2012-11-16,1.8093339785667988
2012-11-19,1.821385553043972
2012-11-20,1.8651820179379204
2012-11-21,1.9044841676579451
2012-11-22,1.9067268166211644
2012-11-23,1.9025469061349616
2012-11-26,1.8823076018657725
2012-11-27,1.8803094616457596
2012-11-28,1.7915201530268678
2012-11-29,1.8081324998578896
2012-11-30,1.7951046854980277
2012-12-03,1.8278441608233216
2012-12-04,1.8130636730804608
2012-12-05,1.7702411428687848
2012-12-06,1.757008734242989
2012-12-07,1.7324827223234085
2012-12-10,1.727098289671302
2012-12-11,1.7531064053173742
2012-12-12,1.7464816641307648
2012-12-13,1.747274820060861
2012-12-14,1.7475507284392533
2012-12-17,1.776869539341785
2012-12-18,1.798782587552779
2012-12-19,1.817864755958624
2012-12-20,1.7864166001515187
2012-12-21,1.7709726372446903
2012-12-24,1.7737553566304012
2012-12-27,1.7504626403437582
2012-12-28,1.7220305467467796
2012-12-31,1.722533077541371
2013-01-02,1.833627879033208
2013-01-03,1.8792772877031725
2013-01-04,1.9280530295428624
2013-01-07,1.9095087184386768
2013-01-08,1.88008565245498
2013-01-09,1.8756041321210084
2013-01-10,1.939365291917321
2013-01-11,1.9630211100919557
2013-01-14,1.9173175423575928
2013-01-15,1.901236649188468
2013-01-16,1.8974683388829288
2013-01-17,1.9449945435065752
2013-01-18,1.9080902373864996
2013-01-21,1.910708922479956
2013-01-22,1.9072436217433089
2013-01-23,1.8899967259851147
2013-01-24,1.896120566623643
2013-01-25,1.9572621582296543
2013-01-28,2.0146692095763514
2013-01-29,2.001327926392076
2013-01-30,2.0440110395767253
2013-01-31,2.020654870829002
2013-02-01,1.9788875958657952
2013-02-04,1.9915398798921515
2013-02-05,2.012044051513241
2013-02-06,1.992288040410961
2013-02-07,1.984445382639013
2013-02-08,1.9751323424415013
2013-02-11,1.9723907329258203
2013-02-12,2.000951804502429
2013-02-13,2.040446313515781
2013-02-14,2.016153442518399
2013-02-15,2.0096133687981927
2013-02-18,2.007630320791942
2013-02-19,2.010240126742043
2013-02-20,2.032460768497197
2013-02-21,1.9784714066195856
2013-02-22,1.9623393393086364
2013-02-25,2.005284706020417
2013-02-26,1.9187277022707525
2013-02-27,1.866287048045992
2013-02-28,1.880491865980316
2013-03-01,1.839016492465116
2013-03-04,1.833209182631376
2013-03-05,1.847686586375996
2013-03-06,1.8609528384719851
2013-03-07,1.8809094349848072
2013-03-08,1.8909965413286312
2013-03-11,1.882907074847246
2013-03-12,1.8730124024365848
2013-03-13,1.8669795071525872
2013-03-14,1.8689002583661385
2013-03-15,1.8523477601351708
2013-03-18,1.8056299119231145
2013-03-19,1.7875147168699854
2013-03-20,1.8034286941664712
2013-03-21,1.767636174087464
2013-03-22,1.7835623556160751
2013-03-25,1.7743225480874338
2013-03-26,1.8005745256312131
2013-03-27,1.7434870059792855
2013-03-28,1.759226275777391
2013-04-02,1.7794430679596678
2013-04-03,1.7483066126755098
2013-04-04,1.6956412543080417
2013-04-05,1.5777762548099448
2013-04-08,1.5813291014992643
2013-04-09,1.630293636202052
2013-04-10,1.6978214988558218
2013-04-11,1.6859256112696643
2013-04-12,1.6640555676266375
2013-04-15,1.6484405531428488
2013-04-16,1.6481027233863657
2013-04-17,1.6424021493121366
2013-04-18,1.6152878602750027
2013-04-19,1.6427139887837183
2013-04-22,1.5975772192010649
2013-04-23,1.599395410892372
2013-04-24,1.5969466413182474
2013-04-25,1.6001556169648703
2013-04-26,1.5872192115660662
2013-04-29,1.5711890618488624
2013-04-30,1.550317933457273
2013-05-02,1.541744908603384
2013-05-03,1.5896571500669587
2013-05-06,1.600352228864045
2013-05-07,1.6294725494058095
2013-05-08,1.624058576967764
2013-05-09,1.61755761957048
2013-05-10,1.7052506727004602
2013-05-13,1.7118539561104482
2013-05-14,1.706611444478848
2013-05-15,1.709355898127261
2013-05-16,1.668485904152197
2013-05-17,1.6559200256725417
2013-05-20,1.664960330801943
2013-05-21,1.7384643148472545
2013-05-22,1.673613596599596
2013-05-23,1.7097994485165469
2013-05-24,1.7278609179887263
2013-05-27,1.758165652527424
2013-05-28,1.7919554949711003
2013-05-29,1.838245246095151
2013-05-30,1.8304045973714995
2013-05-31,1.8427562019166928
2013-06-03,1.8644767362086432
2013-06-04,1.876348884962332
2013-06-05,1.8441609086937636
2013-06-06,1.8922524602094184
